Date,Open,High,Low,Close,Adj Close,Volume
2013-01-10,13787.799805,13874.000000,13612.599609,13647.299805,13534.492188,13819
2013-01-11,13903.900391,13903.900391,13460.000000,13473.400391,13362.031250,7241
2013-01-14,13488.000000,13585.700195,13225.000000,13509.000000,13397.338867,10982
2013-01-15,13529.799805,13622.799805,13465.000000,13557.799805,13445.734375,10540
2013-01-16,13475.000000,13704.799805,13360.000000,13404.200195,13293.404297,9331
2013-01-17,13372.000000,13474.200195,13252.200195,13283.299805,13173.501953,7257
2013-01-18,13399.000000,13450.500000,13242.900391,13336.400391,13226.163086,5817
2013-01-21,13394.200195,13510.000000,13351.000000,13450.000000,13338.823242,5446
2013-01-22,13460.000000,13570.000000,13350.000000,13419.799805,13308.874023,4692
2013-01-23,13250.000000,13474.000000,13072.200195,13234.000000,13124.610352,5692
2013-01-24,13244.000000,13332.799805,13025.000000,13064.000000,12956.014648,7752
2013-01-25,13075.000000,13351.000000,12930.200195,13286.099609,13176.277344,5805
2013-01-28,13372.000000,13420.000000,13230.000000,13260.500000,13150.890625,2870
2013-01-29,13191.500000,13388.799805,13025.000000,13060.500000,12952.545898,4938
2013-01-30,13094.700195,13248.799805,13009.000000,13098.799805,13009.453125,5011
2013-01-31,13134.000000,13216.799805,13035.000000,13138.799805,13049.179688,4026
2013-02-01,13198.000000,13315.000000,13140.000000,13220.700195,13130.520508,4732
2013-02-04,13228.799805,13390.000000,13200.000000,13233.799805,13143.533203,5085
2013-02-05,13234.000000,13250.000000,13060.000000,13146.700195,13057.025391,4714
2013-02-06,13372.799805,13372.799805,13187.099609,13245.599609,13155.250000,4631
2013-02-07,13298.799805,13449.000000,13050.000000,13169.799805,13079.969727,10910
2013-02-08,13250.000000,13530.000000,13220.200195,13408.900391,13317.438477,16332
2013-02-11,13490.000000,13490.000000,13260.000000,13313.099609,13222.291016,5103
2013-02-12,13251.000000,13401.000000,13115.500000,13206.299805,13116.220703,6593
2013-02-13,13279.799805,13297.000000,12865.000000,12907.799805,12819.756836,8151
2013-02-14,12900.000000,12902.799805,12247.000000,12313.700195,12229.708008,12818
2013-02-15,12353.500000,12551.700195,12015.000000,12486.799805,12401.626953,14508
2013-02-18,12590.000000,12590.000000,12382.000000,12463.299805,12378.287109,4319
2013-02-19,12695.900391,12695.900391,12412.299805,12620.500000,12534.415039,5316
2013-02-20,12644.000000,12750.000000,12555.500000,12689.500000,12602.946289,4809
2013-02-21,12621.000000,12698.500000,12301.500000,12353.599609,12269.334961,5010
2013-02-22,12365.000000,12505.000000,12160.000000,12388.799805,12304.296875,12339
2013-02-25,12400.000000,12415.200195,12250.000000,12294.900391,12211.036133,5098
2013-02-26,12297.200195,12300.000000,12126.700195,12220.500000,12137.144531,4374
2013-02-27,12339.000000,12550.599609,12060.000000,12200.799805,12117.579102,7171
2013-02-28,12260.900391,12314.500000,11261.099609,11427.799805,11349.853516,26188
